U-Turn Detection Debug Log
==================================================
Checking 3 -> 35: Travel = 0.76m, Straight = 0.66m
Checking 3 -> 36: Travel = 0.79m, Straight = 0.70m
Checking 3 -> 37: Travel = 0.85m, Straight = 0.75m
Checking 3 -> 38: Travel = 0.85m, Straight = 0.76m
Checking 3 -> 39: Travel = 0.86m, Straight = 0.77m
Checking 3 -> 40: Travel = 0.97m, Straight = 0.87m
Checking 3 -> 41: Travel = 0.97m, Straight = 0.87m
Checking 3 -> 42: Travel = 0.98m, Straight = 0.88m
Checking 3 -> 43: Travel = 0.99m, Straight = 0.89m
Checking 3 -> 44: Travel = 1.04m, Straight = 0.94m
Checking 3 -> 45: Travel = 1.14m, Straight = 1.04m
Checking 3 -> 46: Travel = 1.17m, Straight = 1.06m
Checking 3 -> 47: Travel = 1.17m, Straight = 1.07m
Checking 3 -> 48: Travel = 1.36m, Straight = 1.25m
Checking 3 -> 49: Travel = 1.41m, Straight = 1.30m
Checking 3 -> 50: Travel = 1.42m, Straight = 1.31m
Checking 3 -> 51: Travel = 1.46m, Straight = 1.35m
Checking 3 -> 52: Travel = 1.53m, Straight = 1.41m
Checking 3 -> 53: Travel = 1.66m, Straight = 1.53m
Checking 3 -> 54: Travel = 1.78m, Straight = 1.63m
Checking 4 -> 14: Travel = 0.34m, Straight = 0.28m
Checking 4 -> 15: Travel = 0.35m, Straight = 0.29m
Checking 4 -> 16: Travel = 0.36m, Straight = 0.31m
Checking 4 -> 17: Travel = 0.40m, Straight = 0.34m
Checking 4 -> 18: Travel = 0.42m, Straight = 0.36m
Checking 4 -> 19: Travel = 0.43m, Straight = 0.37m
Checking 4 -> 20: Travel = 0.44m, Straight = 0.37m
Checking 4 -> 21: Travel = 0.44m, Straight = 0.37m
Checking 4 -> 22: Travel = 0.45m, Straight = 0.38m
Checking 4 -> 23: Travel = 0.45m, Straight = 0.38m
Checking 4 -> 24: Travel = 0.46m, Straight = 0.39m
Checking 4 -> 25: Travel = 0.46m, Straight = 0.39m
Checking 4 -> 26: Travel = 0.47m, Straight = 0.40m
Checking 4 -> 27: Travel = 0.54m, Straight = 0.46m
Checking 4 -> 28: Travel = 0.54m, Straight = 0.46m
Checking 4 -> 29: Travel = 0.57m, Straight = 0.49m
Checking 4 -> 30: Travel = 0.63m, Straight = 0.54m
Checking 4 -> 31: Travel = 0.63m, Straight = 0.55m
Checking 4 -> 32: Travel = 0.69m, Straight = 0.60m
Checking 4 -> 33: Travel = 0.70m, Straight = 0.62m
Checking 4 -> 34: Travel = 0.73m, Straight = 0.64m
Checking 4 -> 35: Travel = 0.75m, Straight = 0.66m
Checking 4 -> 36: Travel = 0.79m, Straight = 0.69m
Checking 4 -> 37: Travel = 0.84m, Straight = 0.75m
Checking 4 -> 38: Travel = 0.84m, Straight = 0.75m
Checking 4 -> 39: Travel = 0.85m, Straight = 0.76m
Checking 4 -> 40: Travel = 0.96m, Straight = 0.86m
Checking 4 -> 41: Travel = 0.97m, Straight = 0.87m
Checking 4 -> 42: Travel = 0.98m, Straight = 0.88m
Checking 4 -> 43: Travel = 0.98m, Straight = 0.89m
Checking 4 -> 44: Travel = 1.03m, Straight = 0.93m
Checking 4 -> 45: Travel = 1.14m, Straight = 1.03m
Checking 4 -> 46: Travel = 1.16m, Straight = 1.06m
Checking 4 -> 47: Travel = 1.17m, Straight = 1.06m
Checking 4 -> 48: Travel = 1.35m, Straight = 1.24m
Checking 4 -> 49: Travel = 1.41m, Straight = 1.30m
Checking 4 -> 50: Travel = 1.42m, Straight = 1.31m
Checking 4 -> 51: Travel = 1.46m, Straight = 1.35m
Checking 4 -> 52: Travel = 1.52m, Straight = 1.41m
Checking 4 -> 53: Travel = 1.65m, Straight = 1.52m
Checking 4 -> 54: Travel = 1.77m, Straight = 1.62m
Checking 5 -> 15: Travel = 0.33m, Straight = 0.28m
Checking 5 -> 16: Travel = 0.34m, Straight = 0.29m
Checking 5 -> 17: Travel = 0.38m, Straight = 0.32m
Checking 5 -> 18: Travel = 0.40m, Straight = 0.34m
Checking 5 -> 19: Travel = 0.41m, Straight = 0.35m
Checking 5 -> 20: Travel = 0.41m, Straight = 0.36m
Checking 5 -> 21: Travel = 0.42m, Straight = 0.36m
Checking 5 -> 22: Travel = 0.42m, Straight = 0.36m
Checking 5 -> 23: Travel = 0.43m, Straight = 0.36m
Checking 5 -> 24: Travel = 0.44m, Straight = 0.37m
Checking 5 -> 25: Travel = 0.44m, Straight = 0.38m
Checking 5 -> 26: Travel = 0.45m, Straight = 0.39m
Checking 5 -> 27: Travel = 0.51m, Straight = 0.44m
Checking 5 -> 28: Travel = 0.52m, Straight = 0.45m
Checking 5 -> 29: Travel = 0.55m, Straight = 0.47m
Checking 5 -> 30: Travel = 0.60m, Straight = 0.52m
Checking 5 -> 31: Travel = 0.61m, Straight = 0.53m
Checking 5 -> 32: Travel = 0.67m, Straight = 0.58m
Checking 5 -> 33: Travel = 0.68m, Straight = 0.60m
Checking 5 -> 34: Travel = 0.71m, Straight = 0.62m
Checking 5 -> 35: Travel = 0.73m, Straight = 0.64m
Checking 5 -> 36: Travel = 0.76m, Straight = 0.67m
Checking 5 -> 37: Travel = 0.82m, Straight = 0.73m
Checking 5 -> 38: Travel = 0.82m, Straight = 0.73m
Checking 5 -> 39: Travel = 0.83m, Straight = 0.74m
Checking 5 -> 40: Travel = 0.94m, Straight = 0.84m
Checking 5 -> 41: Travel = 0.94m, Straight = 0.85m
Checking 5 -> 42: Travel = 0.95m, Straight = 0.86m
Checking 5 -> 43: Travel = 0.96m, Straight = 0.87m
Checking 5 -> 44: Travel = 1.01m, Straight = 0.91m
Checking 5 -> 45: Travel = 1.11m, Straight = 1.01m
Checking 5 -> 46: Travel = 1.14m, Straight = 1.04m
Checking 5 -> 47: Travel = 1.14m, Straight = 1.04m
Checking 5 -> 48: Travel = 1.33m, Straight = 1.22m
Checking 5 -> 49: Travel = 1.38m, Straight = 1.28m
Checking 5 -> 50: Travel = 1.39m, Straight = 1.29m
Checking 5 -> 51: Travel = 1.43m, Straight = 1.33m
Checking 5 -> 52: Travel = 1.50m, Straight = 1.39m
Checking 5 -> 53: Travel = 1.63m, Straight = 1.50m
Checking 5 -> 54: Travel = 1.75m, Straight = 1.60m
Checking 6 -> 16: Travel = 0.32m, Straight = 0.28m
