U-Turn Detection Debug Log
==================================================
Checking 4 -> 67: Travel = 2.20m, Straight = 0.58m
Checking 5 -> 15: Travel = 0.14m, Straight = 0.13m
Checking 5 -> 16: Travel = 0.22m, Straight = 0.20m
Checking 5 -> 17: Travel = 0.23m, Straight = 0.22m
Checking 5 -> 18: Travel = 0.25m, Straight = 0.24m
Checking 5 -> 19: Travel = 0.31m, Straight = 0.29m
Checking 5 -> 20: Travel = 0.33m, Straight = 0.30m
Checking 5 -> 21: Travel = 0.34m, Straight = 0.31m
Checking 5 -> 22: Travel = 0.40m, Straight = 0.34m
Checking 5 -> 23: Travel = 0.41m, Straight = 0.34m
Checking 5 -> 24: Travel = 0.41m, Straight = 0.35m
Checking 5 -> 25: Travel = 0.42m, Straight = 0.36m
Checking 5 -> 26: Travel = 0.43m, Straight = 0.36m
Checking 5 -> 27: Travel = 0.45m, Straight = 0.36m
Checking 5 -> 28: Travel = 0.47m, Straight = 0.37m
Checking 5 -> 29: Travel = 0.49m, Straight = 0.39m
Checking 5 -> 30: Travel = 0.50m, Straight = 0.39m
Checking 5 -> 31: Travel = 0.54m, Straight = 0.42m
Checking 5 -> 32: Travel = 0.57m, Straight = 0.44m
Checking 5 -> 33: Travel = 0.64m, Straight = 0.48m
Checking 5 -> 34: Travel = 0.68m, Straight = 0.51m
Checking 5 -> 35: Travel = 0.69m, Straight = 0.52m
Checking 5 -> 36: Travel = 0.70m, Straight = 0.53m
Checking 5 -> 37: Travel = 0.71m, Straight = 0.54m
Checking 5 -> 38: Travel = 0.81m, Straight = 0.61m
Checking 5 -> 39: Travel = 0.87m, Straight = 0.67m
Checking 5 -> 40: Travel = 0.90m, Straight = 0.70m
Checking 5 -> 41: Travel = 0.97m, Straight = 0.77m
Checking 5 -> 42: Travel = 1.04m, Straight = 0.83m
Checking 5 -> 43: Travel = 1.12m, Straight = 0.91m
Checking 5 -> 44: Travel = 1.22m, Straight = 1.00m
Checking 5 -> 45: Travel = 1.24m, Straight = 1.01m
Checking 5 -> 46: Travel = 1.25m, Straight = 1.02m
Checking 5 -> 47: Travel = 1.33m, Straight = 0.96m
Checking 5 -> 48: Travel = 1.38m, Straight = 0.91m
Checking 5 -> 49: Travel = 1.42m, Straight = 0.88m
Checking 5 -> 50: Travel = 1.43m, Straight = 0.86m
Checking 5 -> 51: Travel = 1.45m, Straight = 0.85m
Checking 5 -> 52: Travel = 1.51m, Straight = 0.79m
Checking 5 -> 53: Travel = 1.56m, Straight = 0.74m
Checking 5 -> 54: Travel = 1.58m, Straight = 0.72m
Checking 5 -> 55: Travel = 1.61m, Straight = 0.69m
Checking 5 -> 56: Travel = 1.65m, Straight = 0.66m
Checking 5 -> 57: Travel = 1.69m, Straight = 0.62m
Checking 5 -> 58: Travel = 1.73m, Straight = 0.58m
Checking 5 -> 59: Travel = 1.81m, Straight = 0.53m
Checking 5 -> 60: Travel = 1.83m, Straight = 0.51m
Checking 5 -> 61: Travel = 1.87m, Straight = 0.55m
Checking 5 -> 62: Travel = 1.96m, Straight = 0.64m
Checking 5 -> 63: Travel = 1.97m, Straight = 0.64m
Checking 5 -> 64: Travel = 1.97m, Straight = 0.65m
Checking 5 -> 65: Travel = 1.97m, Straight = 0.65m
Checking 5 -> 66: Travel = 2.02m, Straight = 0.66m
Checking 5 -> 67: Travel = 2.07m, Straight = 0.61m
Checking 6 -> 16: Travel = 0.20m, Straight = 0.19m
Checking 6 -> 17: Travel = 0.21m, Straight = 0.21m
Checking 6 -> 18: Travel = 0.23m, Straight = 0.23m
Checking 6 -> 19: Travel = 0.29m, Straight = 0.28m
Checking 6 -> 20: Travel = 0.31m, Straight = 0.30m
Checking 6 -> 21: Travel = 0.32m, Straight = 0.30m
Checking 6 -> 22: Travel = 0.38m, Straight = 0.34m
Checking 6 -> 23: Travel = 0.38m, Straight = 0.34m
Checking 6 -> 24: Travel = 0.39m, Straight = 0.34m
Checking 6 -> 25: Travel = 0.40m, Straight = 0.35m
Checking 6 -> 26: Travel = 0.41m, Straight = 0.36m
Checking 6 -> 27: Travel = 0.43m, Straight = 0.36m
Checking 6 -> 28: Travel = 0.45m, Straight = 0.37m
Checking 6 -> 29: Travel = 0.47m, Straight = 0.39m
Checking 6 -> 30: Travel = 0.48m, Straight = 0.39m
Checking 6 -> 31: Travel = 0.52m, Straight = 0.42m
Checking 6 -> 32: Travel = 0.55m, Straight = 0.44m
Checking 6 -> 33: Travel = 0.62m, Straight = 0.49m
Checking 6 -> 34: Travel = 0.66m, Straight = 0.52m
Checking 6 -> 35: Travel = 0.66m, Straight = 0.52m
